Mean;STD;Activation;Alpha;Hidden Layer Size;Learning rate;Random State;Solver;;"Best parameters: ,""{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': 39, 'learning_rate': 'constant', 'random_state': None, 'solver': 'lbfgs'}"""
0.66296;(+/-0.18600);'identity',;0.0001,;90;'adaptive',;1;'adam'};;
0.66296;(+/-0.13282);'identity',;0.0001,;92;'constant',;1;'lbfgs'};;
0.66296;(+/-0.13282);'identity',;0.0001,;92;'adaptive',;1;'lbfgs'};;
0.66296;(+/-0.20130);'identity',;0.0001,;99;'adaptive',;None,;'adam'};;
0.66296;(+/-0.14064);'identity',;0.05,;7;'constant',;None,;'lbfgs'};;
0.66296;(+/-0.15982);'identity',;0.05,;94;'constant',;1;'adam'};;
0.66296;(+/-0.15982);'identity',;0.05,;94;'adaptive',;1;'adam'};;
0.66296;(+/-0.17693);'identity',;0.05,;94;'adaptive',;None,;'adam'};;
0.66296;(+/-0.21590);'identity',;0.05,;99;'adaptive',;None,;'adam'};;
0.66296;(+/-0.16539);'identity',;0.05,;100;'constant',;1;'adam'};;
0.66296;(+/-0.16539);'identity',;0.05,;100;'adaptive',;1;'adam'};;
0.66111;(+/-0.17521);'tanh',;0.0001,;99;'constant',;1;'adam'};;
0.66111;(+/-0.17521);'tanh',;0.0001,;99;'adaptive',;1;'adam'};;
0.66111;(+/-0.16405);'tanh',;0.0001,;100;'constant',;None,;'adam'};;
0.66111;(+/-0.17708);'tanh',;0.05,;78;'adaptive',;None,;'adam'};;
0.66111;(+/-0.16630);'tanh',;0.05,;85;'constant',;None,;'adam'};;
0.66111;(+/-0.15423);'tanh',;0.05,;86;'constant',;None,;'adam'};;
0.66111;(+/-0.16405);'tanh',;0.05,;93;'constant',;1;'adam'};;
0.66111;(+/-0.16405);'tanh',;0.05,;93;'adaptive',;1;'adam'};;
0.66111;(+/-0.15896);'relu',;0.0001,;48;'constant',;1;'lbfgs'};;
0.66111;(+/-0.15896);'relu',;0.0001,;48;'adaptive',;1;'lbfgs'};;
0.66111;(+/-0.11898);'relu',;0.0001,;54;'constant',;None,;'lbfgs'};;
0.66111;(+/-0.11583);'relu',;0.0001,;60;'adaptive',;None,;'lbfgs'};;
0.66111;(+/-0.23535);'relu',;0.0001,;79;'constant',;None,;'lbfgs'};;
0.66111;(+/-0.13729);'relu',;0.0001,;99;'constant',;1;'lbfgs'};;
0.66111;(+/-0.13729);'relu',;0.0001,;99;'adaptive',;1;'lbfgs'};;
0.66111;(+/-0.19008);'relu',;0.05,;19;'constant',;None,;'lbfgs'};;
0.66111;(+/-0.14990);'logistic',;0.05,;9;'constant',;None,;'lbfgs'};;
0.66111;(+/-0.17708);'identity',;0.05,;98;'constant',;1;'adam'};;
0.66111;(+/-0.17708);'identity',;0.05,;98;'adaptive',;1;'adam'};;
0.65926;(+/-0.17245);'tanh',;0.0001,;75;'constant',;None,;'adam'};;
0.65926;(+/-0.16363);'tanh',;0.0001,;84;'constant',;1;'adam'};;
0.65926;(+/-0.16363);'tanh',;0.0001,;84;'adaptive',;1;'adam'};;
0.65926;(+/-0.18600);'tanh',;0.0001,;88;'adaptive',;None,;'adam'};;
0.65926;(+/-0.20068);'tanh',;0.0001,;92;'adaptive',;None,;'adam'};;
0.65926;(+/-0.16835);'tanh',;0.0001,;93;'constant',;1;'adam'};;
0.65926;(+/-0.16835);'tanh',;0.0001,;93;'adaptive',;1;'adam'};;
0.65926;(+/-0.21010);'tanh',;0.05,;12;'adaptive',;None,;'lbfgs'};;
0.65926;(+/-0.23611);'tanh',;0.05,;60;'constant',;None,;'adam'};;
0.65926;(+/-0.18265);'tanh',;0.05,;93;'adaptive',;None,;'adam'};;
0.65926;(+/-0.20007);'tanh',;0.05,;96;'adaptive',;None,;'adam'};;
0.65926;(+/-0.18688);'tanh',;0.05,;99;'adaptive',;None,;'adam'};;
0.65926;(+/-0.13095);'relu',;0.0001,;23;'adaptive',;None,;'lbfgs'};;
0.65926;(+/-0.11978);'relu',;0.0001,;41;'constant',;1;'lbfgs'};;
0.65926;(+/-0.11978);'relu',;0.0001,;41;'adaptive',;1;'lbfgs'};;
0.65926;(+/-0.10899);'relu',;0.0001,;84;'constant',;None,;'lbfgs'};;
0.65926;(+/-0.14750);'relu',;0.0001,;89;'constant',;None,;'lbfgs'};;
0.65926;(+/-0.20414);'relu',;0.0001,;90;'adaptive',;None,;'lbfgs'};;
0.65926;(+/-0.16338);'relu',;0.0001,;92;'adaptive',;None,;'lbfgs'};;
0.65926;(+/-0.20414);'relu',;0.0001,;98;'constant',;None,;'lbfgs'};;
0.65926;(+/-0.15108);'relu',;0.0001,;100;'constant',;None,;'lbfgs'};;
0.65926;(+/-0.19252);'relu',;0.0001,;100;'adaptive',;None,;'lbfgs'};;
0.65926;(+/-0.19986);'relu',;0.05,;23;'adaptive',;None,;'lbfgs'};;
0.65926;(+/-0.23064);'identity',;0.0001,;52;'constant',;None,;'lbfgs'};;
0.65926;(+/-0.19059);'identity',;0.0001,;87;'adaptive',;None,;'adam'};;
0.65926;(+/-0.18175);'identity',;0.0001,;89;'adaptive',;None,;'adam'};;
0.65926;(+/-0.21321);'identity',;0.0001,;95;'constant',;None,;'adam'};;
0.65926;(+/-0.17245);'identity',;0.0001,;98;'constant',;1;'adam'};;
0.65926;(+/-0.17245);'identity',;0.0001,;98;'adaptive',;1;'adam'};;
0.65926;(+/-0.18907);'identity',;0.05,;5;'constant',;1;'lbfgs'};;
0.65926;(+/-0.18907);'identity',;0.05,;5;'adaptive',;1;'lbfgs'};;
0.65926;(+/-0.15878);'identity',;0.05,;84;'constant',;1;'adam'};;
0.65926;(+/-0.15878);'identity',;0.05,;84;'adaptive',;1;'adam'};;
0.65926;(+/-0.20873);'identity',;0.05,;86;'adaptive',;None,;'adam'};;
0.65926;(+/-0.18644);'identity',;0.05,;96;'adaptive',;None,;'adam'};;
0.65926;(+/-0.22394);'identity',;0.05,;97;'adaptive',;None,;'adam'};;
0.65741;(+/-0.24950);'tanh',;0.0001,;76;'constant',;None,;'adam'};;
0.65741;(+/-0.18622);'tanh',;0.0001,;83;'constant',;1;'adam'};;
0.65741;(+/-0.18622);'tanh',;0.0001,;83;'adaptive',;1;'adam'};;
0.65741;(+/-0.18175);'tanh',;0.0001,;90;'adaptive',;None,;'adam'};;
0.65741;(+/-0.15982);'tanh',;0.0001,;91;'constant',;1;'adam'};;
0.65741;(+/-0.15982);'tanh',;0.0001,;91;'adaptive',;1;'adam'};;
0.65741;(+/-0.19252);'tanh',;0.0001,;92;'constant',;None,;'adam'};;
0.65741;(+/-0.19591);'tanh',;0.0001,;95;'constant',;1;'adam'};;
0.65741;(+/-0.19591);'tanh',;0.0001,;95;'adaptive',;1;'adam'};;
0.65741;(+/-0.15982);'tanh',;0.0001,;96;'constant',;1;'adam'};;
0.65741;(+/-0.15982);'tanh',;0.0001,;96;'adaptive',;1;'adam'};;
0.65741;(+/-0.16883);'tanh',;0.0001,;99;'constant',;None,;'adam'};;
0.65741;(+/-0.22705);'tanh',;0.05,;68;'adaptive',;None,;'adam'};;
0.65741;(+/-0.16539);'tanh',;0.05,;82;'constant',;1;'adam'};;
0.65741;(+/-0.16539);'tanh',;0.05,;82;'adaptive',;1;'adam'};;
0.65741;(+/-0.17739);'tanh',;0.05,;83;'constant',;1;'adam'};;
0.65741;(+/-0.17739);'tanh',;0.05,;83;'adaptive',;1;'adam'};;
0.65741;(+/-0.16539);'tanh',;0.05,;99;'constant',;1;'adam'};;
0.65741;(+/-0.16539);'tanh',;0.05,;99;'adaptive',;1;'adam'};;
0.65741;(+/-0.13649);'relu',;0.0001,;29;'constant',;1;'lbfgs'};;
0.65741;(+/-0.13649);'relu',;0.0001,;29;'adaptive',;1;'lbfgs'};;
0.65741;(+/-0.14750);'relu',;0.0001,;32;'constant',;1;'lbfgs'};;
0.65741;(+/-0.14750);'relu',;0.0001,;32;'adaptive',;1;'lbfgs'};;
0.65741;(+/-0.17125);'relu',;0.0001,;53;'constant',;1;'lbfgs'};;
0.65741;(+/-0.17125);'relu',;0.0001,;53;'adaptive',;1;'lbfgs'};;
0.65741;(+/-0.15432);'relu',;0.0001,;70;'adaptive',;None,;'lbfgs'};;
0.65741;(+/-0.22813);'relu',;0.0001,;81;'adaptive',;None,;'lbfgs'};;
0.65741;(+/-0.16338);'relu',;0.0001,;82;'constant',;None,;'lbfgs'};;
0.65741;(+/-0.16981);'relu',;0.0001,;87;'constant',;None,;'lbfgs'};;
0.65741;(+/-0.15982);'relu',;0.0001,;95;'constant',;None,;'lbfgs'};;
0.65741;(+/-0.13739);'relu',;0.05,;16;'constant',;1;'lbfgs'};;
0.65741;(+/-0.13739);'relu',;0.05,;16;'adaptive',;1;'lbfgs'};;
0.65741;(+/-0.14750);'relu',;0.05,;93;'constant',;None,;'adam'};;
0.65741;(+/-0.16363);'logistic',;0.05,;14;'constant',;None,;'lbfgs'};;
0.65741;(+/-0.17364);'identity',;0.0001,;27;'adaptive',;None,;'lbfgs'};;
0.65741;(+/-0.10197);'identity',;0.0001,;35;'constant',;1;'lbfgs'};;
0.65741;(+/-0.10197);'identity',;0.0001,;35;'adaptive',;1;'lbfgs'};;
0.65741;(+/-0.15878);'identity',;0.0001,;42;'adaptive',;None,;'lbfgs'};;
0.65741;(+/-0.15617);'identity',;0.0001,;46;'adaptive',;None,;'lbfgs'};;
0.65741;(+/-0.17077);'identity',;0.0001,;47;'constant',;None,;'lbfgs'};;
0.65741;(+/-0.19717);'identity',;0.0001,;74;'adaptive',;None,;'lbfgs'};;
0.65741;(+/-0.20414);'identity',;0.0001,;82;'adaptive',;None,;'adam'};;
0.65741;(+/-0.18622);'identity',;0.0001,;87;'constant',;None,;'adam'};;
0.65741;(+/-0.19507);'identity',;0.0001,;89;'constant',;None,;'adam'};;
0.65741;(+/-0.17435);'identity',;0.0001,;92;'constant',;None,;'adam'};;
0.65741;(+/-0.19252);'identity',;0.0001,;93;'constant',;None,;'adam'};;
0.65741;(+/-0.16883);'identity',;0.0001,;100;'constant',;1;'adam'};;
0.65741;(+/-0.16883);'identity',;0.0001,;100;'adaptive',;1;'adam'};;
0.65741;(+/-0.19986);'identity',;0.05,;87;'constant',;None,;'adam'};;
0.65741;(+/-0.18600);'identity',;0.05,;90;'constant',;1;'adam'};;
0.65741;(+/-0.18600);'identity',;0.05,;90;'adaptive',;1;'adam'};;
0.65741;(+/-0.18175);'identity',;0.05,;98;'adaptive',;None,;'adam'};;
0.65741;(+/-0.18907);'identity',;0.05,;100;'adaptive',;None,;'adam'};;
0.65556;(+/-0.15896);'tanh',;0.0001,;65;'adaptive',;None,;'adam'};;
0.65556;(+/-0.16630);'tanh',;0.0001,;68;'adaptive',;None,;'adam'};;
0.65556;(+/-0.18415);'tanh',;0.0001,;86;'constant',;1;'adam'};;
0.65556;(+/-0.18415);'tanh',;0.0001,;86;'adaptive',;1;'adam'};;
0.65556;(+/-0.18144);'tanh',;0.0001,;88;'constant',;None,;'adam'};;
0.65556;(+/-0.17521);'tanh',;0.0001,;89;'constant',;None,;'adam'};;
0.65556;(+/-0.16405);'tanh',;0.0001,;92;'constant',;1;'adam'};;
0.65556;(+/-0.16405);'tanh',;0.0001,;92;'adaptive',;1;'adam'};;
0.65556;(+/-0.18415);'tanh',;0.0001,;93;'constant',;None,;'adam'};;
0.65556;(+/-0.19309);'tanh',;0.0001,;95;'constant',;None,;'adam'};;
0.65556;(+/-0.21140);'tanh',;0.0001,;100;'adaptive',;None,;'adam'};;
0.65556;(+/-0.19521);'tanh',;0.05,;69;'constant',;None,;'adam'};;
0.65556;(+/-0.17521);'tanh',;0.05,;70;'adaptive',;None,;'adam'};;
0.65556;(+/-0.15476);'tanh',;0.05,;76;'constant',;1;'adam'};;
0.65556;(+/-0.15476);'tanh',;0.05,;76;'adaptive',;1;'adam'};;
0.65556;(+/-0.20866);'tanh',;0.05,;85;'adaptive',;None,;'adam'};;
0.65556;(+/-0.15476);'tanh',;0.05,;87;'constant',;None,;'adam'};;
0.65556;(+/-0.15740);'tanh',;0.05,;91;'constant',;1;'adam'};;
0.65556;(+/-0.15740);'tanh',;0.05,;91;'adaptive',;1;'adam'};;
0.65556;(+/-0.18615);'tanh',;0.05,;95;'constant',;1;'adam'};;
0.65556;(+/-0.18615);'tanh',;0.05,;95;'adaptive',;1;'adam'};;
0.65556;(+/-0.14600);'relu',;0.0001,;54;'adaptive',;None,;'lbfgs'};;
0.65556;(+/-0.20925);'identity',;0.0001,;55;'constant',;1;'lbfgs'};;
0.65556;(+/-0.20925);'identity',;0.0001,;55;'adaptive',;1;'lbfgs'};;
0.65556;(+/-0.18144);'identity',;0.0001,;70;'constant',;1;'lbfgs'};;
0.65556;(+/-0.18144);'identity',;0.0001,;70;'adaptive',;1;'lbfgs'};;
0.65556;(+/-0.19052);'identity',;0.0001,;78;'constant',;None,;'lbfgs'};;
0.65556;(+/-0.14990);'identity',;0.0001,;88;'constant',;1;'adam'};;
0.65556;(+/-0.25868);'identity',;0.0001,;88;'constant',;None,;'lbfgs'};;
0.65556;(+/-0.14990);'identity',;0.0001,;88;'adaptive',;1;'adam'};;
0.65556;(+/-0.18415);'identity',;0.0001,;91;'constant',;None,;'adam'};;
0.65556;(+/-0.15896);'identity',;0.0001,;91;'adaptive',;None,;'lbfgs'};;
0.65556;(+/-0.21334);'identity',;0.0001,;96;'adaptive',;None,;'adam'};;
0.65556;(+/-0.20548);'identity',;0.0001,;99;'adaptive',;None,;'lbfgs'};;
0.65556;(+/-0.20925);'identity',;0.05,;82;'constant',;None,;'adam'};;
0.65556;(+/-0.19626);'identity',;0.05,;89;'constant',;None,;'adam'};;
0.65556;(+/-0.17708);'identity',;0.05,;93;'constant',;None,;'adam'};;
0.65370;(+/-0.17364);'tanh',;0.0001,;67;'adaptive',;None,;'adam'};;
0.65370;(+/-0.18265);'tanh',;0.0001,;70;'adaptive',;None,;'adam'};;
0.65370;(+/-0.19966);'tanh',;0.0001,;73;'constant',;None,;'adam'};;
0.65370;(+/-0.17623);'tanh',;0.0001,;76;'constant',;1;'adam'};;
0.65370;(+/-0.17623);'tanh',;0.0001,;76;'adaptive',;1;'adam'};;
0.65370;(+/-0.18885);'tanh',;0.0001,;77;'constant',;1;'adam'};;
0.65370;(+/-0.18885);'tanh',;0.0001,;77;'adaptive',;1;'adam'};;
0.65370;(+/-0.18820);'tanh',;0.0001,;77;'adaptive',;None,;'adam'};;
0.65370;(+/-0.20068);'tanh',;0.0001,;78;'constant',;1;'adam'};;
0.65370;(+/-0.20068);'tanh',;0.0001,;78;'adaptive',;1;'adam'};;
0.65370;(+/-0.19507);'tanh',;0.0001,;85;'constant',;None,;'adam'};;
0.65370;(+/-0.17364);'tanh',;0.0001,;93;'adaptive',;None,;'adam'};;
0.65370;(+/-0.18265);'tanh',;0.0001,;100;'constant',;1;'adam'};;
0.65370;(+/-0.18265);'tanh',;0.0001,;100;'adaptive',;1;'adam'};;
0.65370;(+/-0.18688);'tanh',;0.05,;12;'constant',;None,;'lbfgs'};;
0.65370;(+/-0.14666);'tanh',;0.05,;65;'constant',;None,;'adam'};;
0.65370;(+/-0.14971);'tanh',;0.05,;76;'adaptive',;None,;'adam'};;
0.65370;(+/-0.20068);'tanh',;0.05,;78;'constant',;1;'adam'};;
0.65370;(+/-0.20068);'tanh',;0.05,;78;'adaptive',;1;'adam'};;
0.65370;(+/-0.19401);'tanh',;0.05,;86;'constant',;1;'adam'};;
0.65370;(+/-0.19401);'tanh',;0.05,;86;'adaptive',;1;'adam'};;
0.65370;(+/-0.18688);'tanh',;0.05,;89;'constant',;None,;'adam'};;
0.65370;(+/-0.18265);'tanh',;0.05,;100;'constant',;1;'adam'};;
0.65370;(+/-0.18265);'tanh',;0.05,;100;'adaptive',;1;'adam'};;
0.65370;(+/-0.16883);'relu',;0.0001,;21;'adaptive',;None,;'lbfgs'};;
0.65370;(+/-0.15511);'relu',;0.0001,;56;'adaptive',;None,;'lbfgs'};;
0.65370;(+/-0.22173);'relu',;0.0001,;66;'constant',;None,;'lbfgs'};;
0.65370;(+/-0.15190);'relu',;0.0001,;95;'adaptive',;None,;'lbfgs'};;
0.65370;(+/-0.20892);'relu',;0.0001,;99;'adaptive',;None,;'adam'};;
0.65370;(+/-0.18152);'identity',;0.0001,;25;'constant',;1;'lbfgs'};;
0.65370;(+/-0.18152);'identity',;0.0001,;25;'adaptive',;1;'lbfgs'};;
0.65370;(+/-0.15617);'identity',;0.0001,;61;'constant',;1;'lbfgs'};;
0.65370;(+/-0.15617);'identity',;0.0001,;61;'adaptive',;1;'lbfgs'};;
0.65370;(+/-0.16464);'identity',;0.0001,;65;'constant',;None,;'adam'};;
0.65370;(+/-0.19166);'identity',;0.0001,;85;'constant',;None,;'adam'};;
0.65370;(+/-0.15081);'identity',;0.0001,;92;'adaptive',;None,;'lbfgs'};;
0.65370;(+/-0.17739);'identity',;0.05,;92;'constant',;1;'adam'};;
0.65370;(+/-0.17739);'identity',;0.05,;92;'adaptive',;1;'adam'};;
0.65185;(+/-0.20694);'tanh',;0.0001,;76;'adaptive',;None,;'adam'};;
0.65185;(+/-0.20130);'tanh',;0.0001,;82;'constant',;None,;'adam'};;
0.65185;(+/-0.19252);'tanh',;0.0001,;84;'constant',;None,;'adam'};;
0.65185;(+/-0.17125);'tanh',;0.0001,;86;'adaptive',;None,;'adam'};;
0.65185;(+/-0.17269);'tanh',;0.0001,;91;'adaptive',;None,;'adam'};;
0.65185;(+/-0.18015);'tanh',;0.0001,;97;'constant',;None,;'adam'};;
0.65185;(+/-0.17785);'tanh',;0.0001,;98;'adaptive',;None,;'adam'};;
0.65185;(+/-0.15930);'tanh',;0.05,;76;'constant',;None,;'adam'};;
0.65185;(+/-0.19080);'tanh',;0.05,;81;'constant',;None,;'adam'};;
0.65185;(+/-0.20394);'tanh',;0.05,;81;'adaptive',;None,;'adam'};;
0.65185;(+/-0.13618);'tanh',;0.05,;86;'adaptive',;None,;'adam'};;
0.65185;(+/-0.21590);'tanh',;0.05,;88;'adaptive',;None,;'adam'};;
0.65185;(+/-0.16883);'tanh',;0.05,;100;'adaptive',;None,;'adam'};;
0.65185;(+/-0.09615);'relu',;0.0001,;41;'adaptive',;None,;'lbfgs'};;
0.65185;(+/-0.09952);'relu',;0.0001,;47;'adaptive',;None,;'lbfgs'};;
0.65185;(+/-0.19231);'relu',;0.0001,;94;'constant',;None,;'lbfgs'};;
0.65185;(+/-0.19966);'relu',;0.05,;28;'constant',;None,;'lbfgs'};;
0.65185;(+/-0.09443);'identity',;0.0001,;16;'constant',;1;'lbfgs'};;
0.65185;(+/-0.09443);'identity',;0.0001,;16;'adaptive',;1;'lbfgs'};;
0.65185;(+/-0.24950);'identity',;0.0001,;40;'adaptive',;None,;'lbfgs'};;
0.65185;(+/-0.17739);'identity',;0.0001,;44;'constant',;1;'lbfgs'};;
0.65185;(+/-0.17739);'identity',;0.0001,;44;'adaptive',;1;'lbfgs'};;
0.65185;(+/-0.16464);'identity',;0.0001,;54;'adaptive',;None,;'lbfgs'};;
0.65185;(+/-0.19549);'identity',;0.0001,;68;'constant',;None,;'adam'};;
0.65185;(+/-0.16835);'identity',;0.0001,;79;'adaptive',;None,;'adam'};;
0.65185;(+/-0.18175);'identity',;0.0001,;82;'constant',;1;'adam'};;
0.65185;(+/-0.18175);'identity',;0.0001,;82;'adaptive',;1;'adam'};;
0.65185;(+/-0.17269);'identity',;0.0001,;84;'constant',;1;'adam'};;
0.65185;(+/-0.17269);'identity',;0.0001,;84;'adaptive',;1;'adam'};;
0.65185;(+/-0.19549);'identity',;0.0001,;87;'adaptive',;None,;'lbfgs'};;
0.65185;(+/-0.19080);'identity',;0.0001,;90;'constant',;None,;'adam'};;
0.65185;(+/-0.18015);'identity',;0.0001,;91;'constant',;1;'lbfgs'};;
0.65185;(+/-0.18015);'identity',;0.0001,;91;'adaptive',;1;'lbfgs'};;
0.65185;(+/-0.18622);'identity',;0.0001,;93;'constant',;1;'adam'};;
0.65185;(+/-0.18622);'identity',;0.0001,;93;'adaptive',;1;'adam'};;
0.65185;(+/-0.18688);'identity',;0.0001,;97;'constant',;None,;'adam'};;
0.65185;(+/-0.19591);'identity',;0.0001,;97;'adaptive',;None,;'adam'};;
0.65185;(+/-0.15930);'identity',;0.0001,;98;'constant',;None,;'lbfgs'};;
0.65185;(+/-0.19507);'identity',;0.0001,;98;'adaptive',;None,;'adam'};;
0.65185;(+/-0.19591);'identity',;0.0001,;99;'constant',;None,;'adam'};;
0.65185;(+/-0.18332);'identity',;0.0001,;100;'constant',;None,;'adam'};;
0.65185;(+/-0.18600);'identity',;0.0001,;100;'adaptive',;None,;'adam'};;
0.65185;(+/-0.17269);'identity',;0.05,;76;'adaptive',;None,;'adam'};;
0.65185;(+/-0.17785);'identity',;0.05,;82;'constant',;1;'adam'};;
0.65185;(+/-0.17785);'identity',;0.05,;82;'adaptive',;1;'adam'};;
0.65185;(+/-0.21030);'identity',;0.05,;83;'adaptive',;None,;'adam'};;
0.65185;(+/-0.19717);'identity',;0.05,;86;'constant',;None,;'adam'};;
0.65185;(+/-0.15982);'identity',;0.05,;88;'constant',;1;'adam'};;
0.65185;(+/-0.15982);'identity',;0.05,;88;'adaptive',;1;'adam'};;
0.65185;(+/-0.18015);'identity',;0.05,;93;'constant',;1;'adam'};;
0.65185;(+/-0.18015);'identity',;0.05,;93;'adaptive',;1;'adam'};;
0.65185;(+/-0.18622);'identity',;0.05,;99;'constant',;1;'adam'};;
0.65185;(+/-0.18622);'identity',;0.05,;99;'adaptive',;1;'adam'};;
0.65000;(+/-0.20925);'tanh',;0.0001,;75;'adaptive',;None,;'adam'};;
0.65000;(+/-0.19521);'tanh',;0.0001,;80;'constant',;1;'adam'};;
0.65000;(+/-0.19521);'tanh',;0.0001,;80;'adaptive',;1;'adam'};;
0.65000;(+/-0.20205);'tanh',;0.0001,;81;'constant',;None,;'adam'};;
0.65000;(+/-0.18144);'tanh',;0.0001,;82;'adaptive',;None,;'adam'};;
0.65000;(+/-0.17708);'tanh',;0.05,;65;'constant',;1;'adam'};;
0.65000;(+/-0.17708);'tanh',;0.05,;65;'adaptive',;1;'adam'};;
0.65000;(+/-0.20925);'tanh',;0.05,;72;'constant',;1;'adam'};;
0.65000;(+/-0.20925);'tanh',;0.05,;72;'adaptive',;1;'adam'};;
0.65000;(+/-0.18526);'tanh',;0.05,;77;'constant',;1;'adam'};;
0.65000;(+/-0.18526);'tanh',;0.05,;77;'adaptive',;1;'adam'};;
0.65000;(+/-0.17847);'tanh',;0.05,;81;'constant',;1;'adam'};;
0.65000;(+/-0.17847);'tanh',;0.05,;81;'adaptive',;1;'adam'};;
0.65000;(+/-0.20925);'tanh',;0.05,;82;'constant',;None,;'adam'};;
0.65000;(+/-0.19647);'tanh',;0.05,;82;'adaptive',;None,;'adam'};;
0.65000;(+/-0.19309);'tanh',;0.05,;89;'constant',;1;'adam'};;
0.65000;(+/-0.19309);'tanh',;0.05,;89;'adaptive',;1;'adam'};;
0.65000;(+/-0.14852);'tanh',;0.05,;89;'adaptive',;None,;'adam'};;
0.65000;(+/-0.19052);'tanh',;0.05,;90;'adaptive',;None,;'adam'};;
0.65000;(+/-0.16405);'tanh',;0.05,;92;'adaptive',;None,;'adam'};;
0.65000;(+/-0.20062);'tanh',;0.05,;97;'adaptive',;None,;'adam'};;
0.65000;(+/-0.16802);'relu',;0.0001,;32;'constant',;None,;'lbfgs'};;
0.65000;(+/-0.13364);'relu',;0.0001,;64;'constant',;None,;'lbfgs'};;
0.65000;(+/-0.17237);'relu',;0.0001,;68;'constant',;None,;'lbfgs'};;
0.65000;(+/-0.16630);'relu',;0.0001,;82;'adaptive',;None,;'lbfgs'};;
0.65000;(+/-0.13729);'relu',;0.0001,;91;'adaptive',;None,;'lbfgs'};;
0.65000;(+/-0.12798);'relu',;0.05,;23;'constant',;1;'lbfgs'};;
0.65000;(+/-0.12798);'relu',;0.05,;23;'adaptive',;1;'lbfgs'};;
0.65000;(+/-0.08654);'logistic',;0.05,;11;'constant',;None,;'lbfgs'};;
0.65000;(+/-0.14852);'identity',;0.0001,;43;'constant',;1;'lbfgs'};;
0.65000;(+/-0.14852);'identity',;0.0001,;43;'adaptive',;1;'lbfgs'};;
0.65000;(+/-0.20428);'identity',;0.0001,;50;'adaptive',;None,;'lbfgs'};;
0.65000;(+/-0.11148);'identity',;0.0001,;53;'constant',;1;'lbfgs'};;
0.65000;(+/-0.11148);'identity',;0.0001,;53;'adaptive',;1;'lbfgs'};;
0.65000;(+/-0.16630);'identity',;0.0001,;71;'constant',;1;'lbfgs'};;
0.65000;(+/-0.16630);'identity',;0.0001,;71;'adaptive',;1;'lbfgs'};;
0.65000;(+/-0.14990);'identity',;0.0001,;73;'constant',;None,;'lbfgs'};;
0.65000;(+/-0.14600);'identity',;0.0001,;80;'constant',;None,;'adam'};;
0.65000;(+/-0.15896);'identity',;0.0001,;92;'adaptive',;None,;'adam'};;
0.65000;(+/-0.17521);'identity',;0.0001,;95;'adaptive',;None,;'adam'};;
0.65000;(+/-0.19008);'identity',;0.0001,;99;'constant',;1;'adam'};;
0.65000;(+/-0.19008);'identity',;0.0001,;99;'adaptive',;1;'adam'};;
0.65000;(+/-0.20021);'identity',;0.05,;88;'constant',;None,;'adam'};;
0.65000;(+/-0.15154);'identity',;0.05,;89;'adaptive',;None,;'adam'};;
0.65000;(+/-0.19309);'identity',;0.05,;90;'constant',;None,;'adam'};;
0.65000;(+/-0.19959);'identity',;0.05,;93;'adaptive',;None,;'adam'};;
0.64815;(+/-0.16338);'tanh',;0.0001,;63;'constant',;None,;'adam'};;
0.64815;(+/-0.17245);'tanh',;0.0001,;69;'constant',;None,;'adam'};;
0.64815;(+/-0.15081);'tanh',;0.0001,;69;'adaptive',;None,;'adam'};;
0.64815;(+/-0.22394);'tanh',;0.0001,;70;'constant',;1;'adam'};;
0.64815;(+/-0.22394);'tanh',;0.0001,;70;'adaptive',;1;'adam'};;
0.64815;(+/-0.18265);'tanh',;0.0001,;89;'constant',;1;'adam'};;
0.64815;(+/-0.18265);'tanh',;0.0001,;89;'adaptive',;1;'adam'};;
0.64815;(+/-0.19059);'tanh',;0.0001,;90;'constant',;None,;'adam'};;
0.64815;(+/-0.18600);'tanh',;0.0001,;97;'constant',;1;'adam'};;
0.64815;(+/-0.18600);'tanh',;0.0001,;97;'adaptive',;1;'adam'};;
0.64815;(+/-0.20414);'tanh',;0.0001,;97;'adaptive',;None,;'adam'};;
0.64815;(+/-0.17623);'tanh',;0.05,;60;'adaptive',;None,;'adam'};;
0.64815;(+/-0.19549);'tanh',;0.05,;63;'constant',;None,;'adam'};;
0.64815;(+/-0.15930);'tanh',;0.05,;66;'constant',;1;'adam'};;
0.64815;(+/-0.15930);'tanh',;0.05,;66;'adaptive',;1;'adam'};;
0.64815;(+/-0.15564);'tanh',;0.05,;70;'constant',;None,;'adam'};;
0.64815;(+/-0.19507);'tanh',;0.05,;83;'constant',;None,;'adam'};;
0.64815;(+/-0.16033);'tanh',;0.05,;85;'constant',;1;'adam'};;
0.64815;(+/-0.16033);'tanh',;0.05,;85;'adaptive',;1;'adam'};;
0.64815;(+/-0.20971);'tanh',;0.05,;96;'constant',;None,;'adam'};;
0.64815;(+/-0.18600);'tanh',;0.05,;97;'constant',;1;'adam'};;
0.64815;(+/-0.18600);'tanh',;0.05,;97;'adaptive',;1;'adam'};;
0.64815;(+/-0.17245);'tanh',;0.05,;98;'constant',;None,;'adam'};;
0.64815;(+/-0.12968);'relu',;0.0001,;33;'constant',;None,;'lbfgs'};;
0.64815;(+/-0.19401);'relu',;0.0001,;49;'adaptive',;None,;'lbfgs'};;
